variant_id,family_id,domain,valence,nonmoral_subdomain,sign,typicality,evocativeness,scenario,q_intentionality,q_blame,q_praise
PS-MB-02-A,PS-MB-02,Product Safety,MB,,bad,common,low,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would put customers' homes at risk of fire: a subsequent safety review found the space heater's internal wiring failed at a noticeably higher rate than industry standard testing allows.,Did the appliance manufacturer intentionally put customers' homes at risk of fire? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-MB-02-B,PS-MB-02,Product Safety,MB,,bad,common,high,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would put customers' homes at risk of fire: several customers' homes caught fire after the heater's wiring overheated while they slept.,Did the appliance manufacturer intentionally put customers' homes at risk of fire? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-MB-02-C,PS-MB-02,Product Safety,MB,,bad,uncommon,low,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would put customers' homes at risk of fire: a subsequent safety review found the space heater's internal wiring failed at a noticeably higher rate than industry standard testing allows.",Did the appliance manufacturer intentionally put customers' homes at risk of fire? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-MB-02-D,PS-MB-02,Product Safety,MB,,bad,uncommon,high,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would put customers' homes at risk of fire: several customers' homes caught fire after the heater's wiring overheated while they slept.",Did the appliance manufacturer intentionally put customers' homes at risk of fire? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-MG-02-A,PS-MG-02,Product Safety,MG,,good,common,low,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would reduce customers' risk of fire from the space heater: a subsequent safety review found the space heater's internal wiring failed at a noticeably lower rate than industry standard testing requires.,Did the appliance manufacturer intentionally reduce customers' risk of fire from the space heater? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-MG-02-B,PS-MG-02,Product Safety,MG,,good,common,high,"The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would reduce customers' risk of fire from the space heater: an independent lab's overheating test found the wiring stayed well within safe temperature limits even under continuous use, and the manufacturer's fire-related complaints for the product line dropped to zero that quarter.",Did the appliance manufacturer intentionally reduce customers' risk of fire from the space heater? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-MG-02-C,PS-MG-02,Product Safety,MG,,good,uncommon,low,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would reduce customers' risk of fire from the space heater: a subsequent safety review found the space heater's internal wiring failed at a noticeably lower rate than industry standard testing requires.",Did the appliance manufacturer intentionally reduce customers' risk of fire from the space heater? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-MG-02-D,PS-MG-02,Product Safety,MG,,good,uncommon,high,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers who use the space heater in their homes. The appliance manufacturer knew that this would reduce customers' risk of fire from the space heater: an independent lab's overheating test found the wiring stayed well within safe temperature limits even under continuous use, and the manufacturer's fire-related complaints for the product line dropped to zero that quarter.",Did the appliance manufacturer intentionally reduce customers' risk of fire from the space heater? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMB-02-A,PS-NMB-02,Product Safety,NMB,prudential,bad,common,low,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would increase the space heater's electricity usage: a subsequent efficiency review found the space heater used noticeably more electricity per hour than the previous model.,Did the appliance manufacturer intentionally increase the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMB-02-B,PS-NMB-02,Product Safety,NMB,prudential,bad,common,high,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would increase the space heater's electricity usage: customers who compared their utility bills before and after the switch found the new heater cost several extra dollars per month to run at the same settings.,Did the appliance manufacturer intentionally increase the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMB-02-C,PS-NMB-02,Product Safety,NMB,prudential,bad,uncommon,low,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would increase the space heater's electricity usage: a subsequent efficiency review found the space heater used noticeably more electricity per hour than the previous model.",Did the appliance manufacturer intentionally increase the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMB-02-D,PS-NMB-02,Product Safety,NMB,prudential,bad,uncommon,high,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would increase the space heater's electricity usage: customers who compared their utility bills before and after the switch found the new heater cost several extra dollars per month to run at the same settings.",Did the appliance manufacturer intentionally increase the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMG-02-A,PS-NMG-02,Product Safety,NMG,prudential,good,common,low,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would decrease the space heater's electricity usage: a subsequent efficiency review found the space heater used noticeably less electricity per hour than the previous model.,Did the appliance manufacturer intentionally decrease the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMG-02-B,PS-NMG-02,Product Safety,NMG,prudential,good,common,high,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would decrease the space heater's electricity usage: customers who compared their utility bills before and after the switch found the new heater cost several dollars less per month to run at the same settings.,Did the appliance manufacturer intentionally decrease the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMG-02-C,PS-NMG-02,Product Safety,NMG,prudential,good,uncommon,low,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would decrease the space heater's electricity usage: a subsequent efficiency review found the space heater used noticeably less electricity per hour than the previous model.",Did the appliance manufacturer intentionally decrease the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NMG-02-D,PS-NMG-02,Product Safety,NMG,prudential,good,uncommon,high,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on customers running the space heater at home. The appliance manufacturer knew that this would decrease the space heater's electricity usage: customers who compared their utility bills before and after the switch found the new heater cost several dollars less per month to run at the same settings.",Did the appliance manufacturer intentionally decrease the space heater's electricity usage? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NEU-02-A,PS-NEU-02,Product Safety,NEU,,na,common,low,The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on staff who log product-testing records in the quality-assurance system. The appliance manufacturer knew that this would change the testing log's internal file-naming format: the new wiring assembly's tracking software began saving quality-assurance test records under a different internal file-naming convention than before.,Did the appliance manufacturer intentionally change the testing log's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NEU-02-B,PS-NEU-02,Product Safety,NEU,,na,common,high,"The appliance manufacturer switched to a wiring supplier widely used by industry-standard manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on staff who log product-testing records in the quality-assurance system. The appliance manufacturer knew that this would change the testing log's internal file-naming format: a test record that would have been saved as 'QA_HTR0930.csv' under the old system is now saved as '2027-09-30_HeaterQA.csv' instead, with no change to who reviews the records or how testing is scheduled.",Did the appliance manufacturer intentionally change the testing log's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NEU-02-C,PS-NEU-02,Product Safety,NEU,,na,uncommon,low,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on staff who log product-testing records in the quality-assurance system. The appliance manufacturer knew that this would change the testing log's internal file-naming format: the new wiring assembly's tracking software began saving quality-assurance test records under a different internal file-naming convention than before.",Did the appliance manufacturer intentionally change the testing log's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
PS-NEU-02-D,PS-NEU-02,Product Safety,NEU,,na,uncommon,high,"The appliance manufacturer commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers to modernize its space heater's internal wiring to cut manufacturing costs. The appliance manufacturer did not care at all about the effect this would have on staff who log product-testing records in the quality-assurance system. The appliance manufacturer knew that this would change the testing log's internal file-naming format: a test record that would have been saved as 'QA_HTR0930.csv' under the old system is now saved as '2027-09-30_HeaterQA.csv' instead, with no change to who reviews the records or how testing is scheduled.",Did the appliance manufacturer intentionally change the testing log's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the appliance manufacturer for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MB-01-A,WORK-MB-01,Workplace,MB,,bad,common,low,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would increase employees' risk of exhaustion-related harm: a subsequent staff survey found a measurable rise in reported exhaustion and missed medical appointments among employees on the new schedule.,Did the department manager intentionally increase employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MB-01-B,WORK-MB-01,Workplace,MB,,bad,common,high,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would increase employees' risk of exhaustion-related harm: several employees collapsed from exhaustion during back-to-back shifts under the new schedule.,Did the department manager intentionally increase employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MB-01-C,WORK-MB-01,Workplace,MB,,bad,uncommon,low,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would increase employees' risk of exhaustion-related harm: a subsequent staff survey found a measurable rise in reported exhaustion and missed medical appointments among employees on the new schedule.",Did the department manager intentionally increase employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MB-01-D,WORK-MB-01,Workplace,MB,,bad,uncommon,high,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would increase employees' risk of exhaustion-related harm: several employees collapsed from exhaustion during back-to-back shifts under the new schedule.",Did the department manager intentionally increase employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MG-01-A,WORK-MG-01,Workplace,MG,,good,common,low,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would reduce employees' risk of exhaustion-related harm: a subsequent staff survey found a measurable drop in reported exhaustion and missed medical appointments among employees on the new schedule.,Did the department manager intentionally reduce employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MG-01-B,WORK-MG-01,Workplace,MG,,good,common,high,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would reduce employees' risk of exhaustion-related harm: several employees who had been struggling with burnout said they were finally sleeping through the night again after the schedule change.,Did the department manager intentionally reduce employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MG-01-C,WORK-MG-01,Workplace,MG,,good,uncommon,low,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would reduce employees' risk of exhaustion-related harm: a subsequent staff survey found a measurable drop in reported exhaustion and missed medical appointments among employees on the new schedule.",Did the department manager intentionally reduce employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-MG-01-D,WORK-MG-01,Workplace,MG,,good,uncommon,high,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on the employees working under the new schedule. The department manager knew that this would reduce employees' risk of exhaustion-related harm: several employees who had been struggling with burnout said they were finally sleeping through the night again after the schedule change.",Did the department manager intentionally reduce employees' risk of exhaustion-related harm? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMB-01-A,WORK-NMB-01,Workplace,NMB,procedural,bad,common,low,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: a subsequent staff survey found employees rated the new seating chart as noticeably less convenient than the previous layout.,Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMB-01-B,WORK-NMB-01,Workplace,NMB,procedural,bad,common,high,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: several employees said the new seating chart broke up long-standing desk groupings they were fond of.,Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMB-01-C,WORK-NMB-01,Workplace,NMB,procedural,bad,uncommon,low,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: a subsequent staff survey found employees rated the new seating chart as noticeably less convenient than the previous layout.",Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMB-01-D,WORK-NMB-01,Workplace,NMB,procedural,bad,uncommon,high,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: several employees said the new seating chart broke up long-standing desk groupings they were fond of.",Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMG-01-A,WORK-NMG-01,Workplace,NMG,procedural,good,common,low,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: a subsequent staff survey found employees rated the new seating chart as noticeably more convenient than the previous layout.,Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMG-01-B,WORK-NMG-01,Workplace,NMG,procedural,good,common,high,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: several employees said the new seating chart finally put them near the colleagues they collaborate with most.,Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMG-01-C,WORK-NMG-01,Workplace,NMG,procedural,good,uncommon,low,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: a subsequent staff survey found employees rated the new seating chart as noticeably more convenient than the previous layout.",Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NMG-01-D,WORK-NMG-01,Workplace,NMG,procedural,good,uncommon,high,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on employees adjusting to the new desk arrangement. The department manager knew that this would change the office's seating arrangement: several employees said the new seating chart finally put them near the colleagues they collaborate with most.",Did the department manager intentionally change the office's seating arrangement? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NEU-01-A,WORK-NEU-01,Workplace,NEU,,na,common,low,The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on HR staff who review the scheduling system's records. The department manager knew that this would change the scheduling system's internal record format: the new shift-rotation software began saving scheduling records under a different internal file format than before.,Did the department manager intentionally change the scheduling system's internal record format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NEU-01-B,WORK-NEU-01,Workplace,NEU,,na,common,high,"The department manager adopted a shift-rotation schedule widely used by comparable departments in the industry to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on HR staff who review the scheduling system's records. The department manager knew that this would change the scheduling system's internal record format: a scheduling record that would have been saved as 'SCHED_083127.csv' under the old system is now saved as '2027-08-31_ShiftSchedule.csv' instead, with no change to who reviews the records or how shifts are assigned.",Did the department manager intentionally change the scheduling system's internal record format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NEU-01-C,WORK-NEU-01,Workplace,NEU,,na,uncommon,low,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on HR staff who review the scheduling system's records. The department manager knew that this would change the scheduling system's internal record format: the new shift-rotation software began saving scheduling records under a different internal file format than before.",Did the department manager intentionally change the scheduling system's internal record format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
WORK-NEU-01-D,WORK-NEU-01,Workplace,NEU,,na,uncommon,high,"The department manager implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments to restructure the team's shift schedule to increase quarterly output. The department manager did not care at all about the effect this would have on HR staff who review the scheduling system's records. The department manager knew that this would change the scheduling system's internal record format: a scheduling record that would have been saved as 'SCHED_083127.csv' under the old system is now saved as '2027-08-31_ShiftSchedule.csv' instead, with no change to who reviews the records or how shifts are assigned.",Did the department manager intentionally change the scheduling system's internal record format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
